NPs,Coating,Core_size,Shape,Dose,Type(Gram( +/-),Class,Family,Species,Duration,ZOI
TiO2,uncoated,45.0,spherical,30000.0,n,Gammaproteobacteria,Morganellaceae,Proteus vulgaris,24.0,15.0
TiO2,coated,26.0,spherical,25.0,p,Bacilli,Staphylococcaceae,Staphylococcus aureus,24.0,22.0
TiO2,coated,26.0,spherical,50.0,n,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa,24.0,20.0
TiO2,uncoated,100.0,spherical,100.0,n,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa,24.0,10.0
TiO2,uncoated,100.0,spherical,100.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,12.0
TiO2,uncoated,100.0,spherical,100.0,n,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae ,24.0,15.0
TiO2,uncoated,100.0,spherical,100.0,p,Bacilli,Staphylococcaceae,Staphylococcus aureus,24.0,12.0
TiO2,uncoated,100.0,spherical,500.0,n,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa,24.0,11.0
TiO2,uncoated,100.0,spherical,500.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,15.0
TiO2,uncoated,100.0,spherical,500.0,n,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae ,24.0,20.0
TiO2,uncoated,100.0,spherical,500.0,p,Bacilli,Staphylococcaceae,Staphylococcus aureus,24.0,16.0
TiO2,uncoated,100.0,spherical,1000.0,n,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas aeruginosa,24.0,15.0
TiO2,uncoated,100.0,spherical,1000.0,n,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli,24.0,20.0
TiO2,uncoated,100.0,spherical,1000.0,n,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae ,24.0,23.0
TiO2,uncoated,100.0,spherical,1000.0,p,Bacilli,Staphylococcaceae,Staphylococcus aureus,24.0,19.0
